Parent	Child	relationType	edgeScore	Freq
SLC37A1	ENPP2	Type 0	0.246129	0.246129
ENPP2	MAGEC2	Type 0	0.275720	0.275720
ENPP2	FSTL5	Type 0	0.294671	0.294671
ENPP2	ANGPT1	Type 0	0.210570	0.210570
ENPP2	FAM139A	Type 0	0.289501	0.289501
ELF1	PAN3	Type 0	0.287141	0.287141
POLR1D	PAN3	Type 0	0.514841	0.514841
LNX2	PAN3	Type 0	0.408819	0.408819
SP100	PAN3	Type 0	0.317308	0.317308
MED4	PAN3	Type 0	0.612347	0.612347
FLJ10154	PAN3	Type 0	0.286966	0.286966
PAN3	ARHGAP10	Type 0	0.200516	0.200516
PAN3	LOC283508	Type 0	0.758486	0.758486
PAN3	LRCH1	Type 0	0.363499	0.363499
PAN3	ANKRD10	Type 0	0.340017	0.340017
PAN3	ELF1	Type 0	0.705629	0.705629
PAN3	POLR1D	Type 0	0.485159	0.485159
PAN3	LNX2	Type 0	0.289848	0.289848
PAN3	AKAP11	Type 0	0.861323	0.861323
PAN3	USP12	Type 0	0.506920	0.506920
PAN3	PARP4	Type 0	0.710601	0.710601
PAN3	SUDS3	Type 0	0.472631	0.472631
PAN3	FLJ10154	Type 0	0.442521	0.442521
PAN3	TRIM13	Type 0	0.316429	0.316429
HSD11B2	NEBL	Type 0	0.244708	0.244708
NEBL	MSX2	Type 0	0.362375	0.362375
CLDN3	AK7	Type 0	0.511048	0.511048
AK7	KHDRBS2	Type 0	0.261969	0.261969
SERPINH1	TK2	Type 0	0.579458	0.579458
FLJ39378	TK2	Type 0	0.362274	0.362274
PLOD1	TK2	Type 0	0.202826	0.202826
SIX5	TK2	Type 0	0.989563	0.989563
TK2	NR2F1	Type 0	0.302915	0.302915
TK2	BLOC1S2	Type 0	0.300521	0.300521
SOX1	PBOV1	Type 0	0.366023	0.366023
TEKT3	PBOV1	Type 0	0.248720	0.248720
SCGB2A1	PBOV1	Type 0	0.305243	0.305243
EPC1///IGHV3-30	PBOV1	Type 0	0.509813	0.509813
ASB5	PBOV1	Type 0	0.357834	0.357834
RGAG4	PBOV1	Type 0	0.368958	0.368958
TRPC5	PBOV1	Type 0	0.263112	0.263112
PBOV1	WIF1	Type 0	0.276198	0.276198
PBOV1	NXPH3	Type 0	0.283974	0.283974
PBOV1	SOX1	Type 0	0.585395	0.585395
PBOV1	LGI1	Type 0	0.224752	0.224752
PBOV1	CRYBA4	Type 0	0.299774	0.299774
PBOV1	C13orf16	Type 0	0.687157	0.687157
PBOV1	SCGB2A1	Type 0	0.652376	0.652376
PBOV1	CCL26	Type 0	0.296758	0.296758
PBOV1	UGT2B4	Type 0	0.261750	0.261750
PBOV1	EPC1///IGHV3-30	Type 0	0.490187	0.490187
PBOV1	ASB5	Type 0	0.253661	0.253661
PBOV1	RGAG4	Type 0	0.447228	0.447228
PBOV1	TRPC5	Type 0	0.237902	0.237902
PBOV1	DCHS2	Type 0	0.295356	0.295356
EXPH5	PSTPIP2	Type 0	0.300952	0.300952
DSP	PSTPIP2	Type 0	0.994388	0.994388
DDIT4	RP6-166C19.11	Type 0	0.234214	0.234214
ADCY9	HGSNAT	Type 0	0.230581	0.230581
TMEM106B	HGSNAT	Type 0	0.298611	0.298611
TMEM30A	HGSNAT	Type 0	0.227677	0.227677
HGSNAT	GALC	Type 0	0.278906	0.278906
KRT18	C9orf93	Type 0	0.230722	0.230722
AIG1	C9orf93	Type 0	0.293478	0.293478
TUFT1	C9orf93	Type 0	0.997657	0.997657
PVR	C9orf93	Type 0	0.210140	0.210140
ANGPTL6	C9orf93	Type 0	0.357876	0.357876
ITPKB	C9orf93	Type 0	0.245917	0.245917
CCDC109A	C9orf93	Type 0	0.300732	0.300732
MAL2	CORO2A	Type 0	0.238594	0.238594
TMPRSS4	CORO2A	Type 0	0.308987	0.308987
JUP	CORO2A	Type 0	0.979800	0.979800
ANXA3	WDR17	Type 0	0.214758	0.214758
TINAGL1	WDR17	Type 0	0.997684	0.997684
HES1	WDR17	Type 0	0.328947	0.328947
SERINC2	WDR17	Type 0	0.253678	0.253678
WDR17	GPM6A	Type 0	0.849222	0.849222
WDR17	NCAM2	Type 0	0.213450	0.213450
WDR17	CBLN2	Type 0	0.328648	0.328648
WDR17	TMEM16E	Type 0	0.554217	0.554217
FADS3	ZNF251	Type 0	0.985617	0.985617
FLJ39378	ZNF251	Type 0	0.298798	0.298798
TMEM44	ZNF251	Type 0	0.327305	0.327305
PINK1	ZNF251	Type 0	0.297004	0.297004
ZNF251	CTAG2	Type 0	0.263102	0.263102
ZNF251	CTAG1B	Type 0	0.281184	0.281184
ZNF251	CTAG1A	Type 0	0.297269	0.297269
ZNF251	LHPP	Type 0	0.301497	0.301497
CHGB	CACNA2D2	Type 0	0.259021	0.259021
KIF1A	CACNA2D2	Type 0	0.209583	0.209583
PON1	CACNA2D2	Type 0	0.554540	0.554540
MAST1	CACNA2D2	Type 0	0.915966	0.915966
HEYL	CACNA2D2	Type 0	0.311220	0.311220
FAM19A1	CACNA2D2	Type 0	0.266177	0.266177
CACNA2D2	ASRGL1	Type 0	0.477318	0.477318
CACNA2D2	SOX2OT	Type 0	0.278369	0.278369
CACNA2D2	HEYL	Type 0	0.251382	0.251382
CACNA2D2	FAM19A1	Type 0	0.227485	0.227485
EGR1	FOS	Type 0	0.485179	0.485179
FOS	EGR1	Type 0	0.514821	0.514821
NLGN2	DDEFL1	Type 0	0.992974	0.992974
DDEFL1	NUPR1	Type 0	0.392423	0.392423
DDEFL1	CXCR3	Type 0	0.270096	0.270096
DDEFL1	DIP2C	Type 0	0.234100	0.234100
DDEFL1	STAMBPL1	Type 0	1.000000	1.000000
DDEFL1	NPY1R	Type 0	0.205742	0.205742
DDEFL1	tcag7.1314	Type 0	0.207729	0.207729
LOC283666	SH3GL2	Type 0	0.276403	0.276403
RPESP	SH3GL2	Type 0	0.220105	0.220105
KCNV1	SH3GL2	Type 0	0.259328	0.259328
GAL3ST2	SH3GL2	Type 0	0.264594	0.264594
GDPD3	SH3GL2	Type 0	0.241967	0.241967
GRAMD1A	SH3GL2	Type 0	0.226255	0.226255
SH3GL2	RORA	Type 0	0.336610	0.336610
SH3GL2	LRIG1	Type 0	0.501643	0.501643
SH3GL2	LOC283666	Type 0	0.552505	0.552505
AIG1	GPATCH2	Type 0	0.250183	0.250183
SPATA17	GPATCH2	Type 0	0.298958	0.298958
JUNB	GPATCH2	Type 0	0.357503	0.357503
RP11-298P3.3	GPATCH2	Type 0	0.294493	0.294493
TANK	GPATCH2	Type 0	0.521956	0.521956
TIGD2	GPATCH2	Type 0	0.300573	0.300573
SPPL2A	GPATCH2	Type 0	1.000000	1.000000
C1orf57	GPATCH2	Type 0	0.240099	0.240099
GPATCH2	KIAA1546	Type 0	0.296998	0.296998
GPATCH2	C1orf57	Type 0	0.214521	0.214521
GPATCH2	MAN1A2	Type 0	0.299461	0.299461
SNAI2	FBXO32	Type 0	0.616772	0.616772
KIAA1522	POLR3G	Type 0	0.437722	0.437722
TAF4B	POLR3G	Type 0	0.575020	0.575020
POLR3G	STON2	Type 0	1.000000	1.000000
ZNF207	CCDC85A	Type 0	0.297495	0.297495
RPL34	EIF4B	Type 0	0.997651	0.997651
MAP7D1	EIF4B	Type 0	0.248950	0.248950
GLTSCR2	EIF4B	Type 0	0.298533	0.298533
RPS28	EIF4B	Type 0	0.273649	0.273649
MRPS35	EIF4B	Type 0	0.250358	0.250358
RPS3A	EIF4B	Type 0	0.393879	0.393879
MRPS27	EIF4B	Type 0	0.295556	0.295556
IL6	DIO2	Type 0	0.362584	0.362584
LIFR	DIO2	Type 0	0.299279	0.299279
C1S	DIO2	Type 0	0.374946	0.374946
DIO2	RERG	Type 0	0.320942	0.320942
LGR5	PLA2G2A	Type 0	0.327652	0.327652
CCL14	PLA2G2A	Type 0	0.276377	0.276377
DLL4	PLA2G2A	Type 0	0.455949	0.455949
HMGCS2	PLA2G2A	Type 0	0.751471	0.751471
PCK1	PLA2G2A	Type 0	0.475242	0.475242
PLA2G2A	SMOC2	Type 0	0.300247	0.300247
PLA2G2A	MYCN	Type 0	0.290977	0.290977
PLA2G2A	DNAJC15	Type 0	0.245930	0.245930
PLA2G2A	PCK1	Type 0	0.524758	0.524758
MYB	PDSS1	Type 0	0.926376	0.926376
MARS2	PDSS1	Type 0	0.238440	0.238440
PDSS1	OLFML2A	Type 0	1.000000	1.000000
PDSS1	DUSP2	Type 0	0.328714	0.328714
PDSS1	C1orf78	Type 0	0.209277	0.209277
PDSS1	SSPN	Type 0	0.789735	0.789735
PDSS1	SRPX2	Type 0	0.203621	0.203621
PDSS1	FSD1L	Type 0	0.533358	0.533358
PDSS1	MARS2	Type 0	0.761184	0.761184
PDSS1	SCLY	Type 0	0.999064	0.999064
PDSS1	C11orf63	Type 0	0.363281	0.363281
PDSS1	SLC25A19	Type 0	0.670076	0.670076
MYH10	C17orf39	Type 0	0.528749	0.528749
NT5M	C17orf39	Type 0	0.999794	0.999794
PFAS	C17orf39	Type 0	0.320400	0.320400
CYB5D2	C17orf39	Type 0	0.212096	0.212096
C17orf39	IGF2BP3	Type 0	0.297003	0.297003
C17orf39	RAD51L1	Type 0	0.242070	0.242070
C17orf39	CYB5D2	Type 0	0.227009	0.227009
C17orf39	AMY2A	Type 0	0.638935	0.638935
C17orf39	KIF3A	Type 0	0.939989	0.939989
RGS20	CPNE8	Type 0	0.386446	0.386446
CARD10	DAB2IP	Type 0	0.996942	0.996942
GLCCI1	DAB2IP	Type 0	0.301762	0.301762
KIAA0284	DAB2IP	Type 0	0.301949	0.301949
SSH3	DAB2IP	Type 0	0.262908	0.262908
DAB2IP	DLL1	Type 0	0.273797	0.273797
DAB2IP	KCNJ2	Type 0	0.259635	0.259635
ODC1	ABCC5	Type 0	0.207792	0.207792
TRIM45	ABCC5	Type 0	0.980150	0.980150
ABCC5	STARD4	Type 0	0.261255	0.261255
ABCC5	CELSR2	Type 0	0.813355	0.813355
ATRN	CDS2	Type 0	0.476582	0.476582
BTD	CDS2	Type 0	0.253575	0.253575
ZNF721	CDS2	Type 0	0.282793	0.282793
RPS3A	CDS2	Type 0	0.388889	0.388889
LOC149832	CDS2	Type 0	0.523645	0.523645
C20orf3	CDS2	Type 0	0.774417	0.774417
CDS2	CDC25B	Type 0	0.932468	0.932468
CDS2	LOC149832	Type 0	0.476355	0.476355
ELF3	SLC2A3	Type 0	0.201498	0.201498
CYR61	ITGB1	Type 0	0.867415	0.867415
ITGB1	NRP1	Type 0	0.990688	0.990688
ITGB1	TFPI	Type 0	0.766075	0.766075
ITGB1	DUSP2	Type 0	0.999141	0.999141
ITGB1	TPM2	Type 0	0.373116	0.373116
ITGB1	MYADM	Type 0	0.703241	0.703241
ITGB1	MYADML	Type 0	0.726580	0.726580
ADCY6	SP4	Type 0	0.990722	0.990722
CEP110	SP4	Type 0	0.531635	0.531635
SP4	GAS6	Type 0	0.233705	0.233705
SP4	ALKBH3	Type 0	1.000000	1.000000
SP4	IGF2BP3	Type 0	0.298042	0.298042
SP4	PHF14	Type 0	0.206826	0.206826
SP4	MPP6	Type 0	0.226087	0.226087
TAP1	FAM62A	Type 0	0.513234	0.513234
FLNA	FAM62A	Type 0	0.277955	0.277955
RSC1A1	FAM62A	Type 0	0.299683	0.299683
TMEM43	FAM62A	Type 0	0.997378	0.997378
TOR1B	FAM62A	Type 0	0.292783	0.292783
FAM62A	PHKB	Type 0	0.917833	0.917833
MID1	DDX43	Type 0	0.299796	0.299796
MID1	ADM	Type 0	0.353378	0.353378
LGALS4	GPX2	Type 0	0.311526	0.311526
CLRN3	GPX2	Type 0	0.218634	0.218634
GPX2	POF1B	Type 0	0.965704	0.965704
GPX2	TOX3	Type 0	0.907616	0.907616
GPX2	UGT1A6	Type 0	0.210933	0.210933
GPX2	CA9	Type 0	0.272926	0.272926
GPX2	TRPC1	Type 0	0.342553	0.342553
GPX2	UGT1A1	Type 0	0.487362	0.487362
GPX2	UGT1A7	Type 0	0.430456	0.430456
GPX2	MYBL1	Type 0	0.974771	0.974771
GPX2	CITED2	Type 0	0.492072	0.492072
GPX2	LRP4	Type 0	0.393626	0.393626
GPX2	BTBD16	Type 0	0.645593	0.645593
MVP	ARNTL	Type 0	0.297919	0.297919
BCL7A	ARNTL	Type 0	0.664986	0.664986
CDC25A	ARNTL	Type 0	0.279497	0.279497
TM4SF19	ARNTL	Type 0	0.200639	0.200639
NFIL3	ARNTL	Type 0	0.761020	0.761020
ARNTL	NFIL3	Type 0	0.238980	0.238980
STEAP4	CRISP2	Type 0	0.270492	0.270492
LHCGR	CRISP2	Type 0	0.207666	0.207666
TEX101	CRISP2	Type 0	0.278218	0.278218
PCDHB12	CRISP2	Type 0	0.218015	0.218015
TRPC3	CRISP2	Type 0	0.244692	0.244692
ACMSD	CRISP2	Type 0	0.366095	0.366095
C9orf127	CRISP2	Type 0	0.238831	0.238831
TMPRSS11A	CRISP2	Type 0	0.508123	0.508123
ABHD9	CRISP2	Type 0	0.304731	0.304731
GALR1	CRISP2	Type 0	0.254719	0.254719
CRISP2	NKAPL	Type 0	0.351216	0.351216
CRISP2	C20orf79	Type 0	0.844079	0.844079
CRISP2	TEX101	Type 0	0.229408	0.229408
CRISP2	TRPC3	Type 0	0.250531	0.250531
CRISP2	ACMSD	Type 0	0.606344	0.606344
CRISP2	FLJ23834	Type 0	0.791438	0.791438
CRISP2	KRTAP10-11	Type 0	0.224932	0.224932
CRISP2	TMPRSS11A	Type 0	0.491877	0.491877
CRISP2	ABHD9	Type 0	0.656540	0.656540
CRISP2	GALR1	Type 0	0.726403	0.726403
FAM129B	SNX7	Type 0	0.983410	0.983410
SNX7	MGST1	Type 0	0.221963	0.221963
SNX7	STARD13	Type 0	0.211452	0.211452
CARD10	MTMR11	Type 0	0.997374	0.997374
MVP	MTMR11	Type 0	0.465945	0.465945
SSH3	MTMR11	Type 0	0.302502	0.302502
MTMR11	DMD	Type 0	0.299583	0.299583
MTMR11	CPT1A	Type 0	0.297899	0.297899
MTMR11	CD68	Type 0	0.239114	0.239114
ABCC3	C9orf150	Type 0	0.999599	0.999599
SLC2A12	C9orf150	Type 0	0.290937	0.290937
ProSAPiP1	C9orf150	Type 0	0.213983	0.213983
TSKU	C9orf150	Type 0	0.290043	0.290043
C9orf150	ProSAPiP1	Type 0	0.265890	0.265890
RNASET2	SFT2D1	Type 0	0.295041	0.295041
CHRNB2	SFT2D1	Type 0	0.298977	0.298977
PDCD2	SFT2D1	Type 0	0.959989	0.959989
C6orf120	SFT2D1	Type 0	0.222315	0.222315
CD164	SFT2D1	Type 0	0.224954	0.224954
FGFR1OP	SFT2D1	Type 0	0.209499	0.209499
TCP1	SFT2D1	Type 0	0.298843	0.298843
SFT2D1	CD164	Type 0	0.774742	0.774742
ATAD4	DFNA5	Type 0	0.995850	0.995850
BSPRY	DFNA5	Type 0	0.398654	0.398654
DFNA5	FHOD3	Type 0	0.996939	0.996939
PLEKHC1	RDX	Type 0	0.527809	0.527809
LYZ	RDX	Type 0	0.910904	0.910904
LGALS4	RDX	Type 0	0.264147	0.264147
RDX	KCNH2	Type 0	0.219144	0.219144
RDX	BCL11B	Type 0	0.208976	0.208976
RDX	PCK1	Type 0	0.792043	0.792043
RDX	ZC3H12C	Type 0	1.000000	1.000000
FGFR1	RP11-35N6.1	Type 0	0.233652	0.233652
GAS2	RP11-35N6.1	Type 0	0.986779	0.986779
PCK1	RP11-35N6.1	Type 0	0.510456	0.510456
FADS3	RP11-35N6.1	Type 0	0.226526	0.226526
LOC157627	RP11-35N6.1	Type 0	0.294591	0.294591
RP11-35N6.1	GABRB3	Type 0	0.362542	0.362542
RP11-35N6.1	SMOC1	Type 0	0.223608	0.223608
DCK	SUZ12	Type 0	0.274036	0.274036
CRLF3	SUZ12	Type 0	0.209431	0.209431
FUSIP1	SUZ12	Type 0	0.996194	0.996194
SUZ12	CXCL14	Type 0	0.385979	0.385979
SUZ12	EPHA4	Type 0	0.296895	0.296895
SUZ12	HSPB1	Type 0	0.267496	0.267496
SUZ12	FAM119A	Type 0	0.243386	0.243386
SUZ12	CASD1	Type 0	0.300922	0.300922
SUZ12	CDC6	Type 0	0.297666	0.297666
SUZ12	WNT3A	Type 0	0.357720	0.357720
ADCY1	HOXD13	Type 0	0.214323	0.214323
PAX3	HOXD13	Type 0	0.993068	0.993068
HOXD13	HOXD4	Type 0	0.282710	0.282710
CYR61	HYI	Type 0	0.232153	0.232153
F3	HYI	Type 0	0.373669	0.373669
PRSS23	HYI	Type 0	0.999549	0.999549
SECTM1	HYI	Type 0	0.212131	0.212131
HYI	SECTM1	Type 0	0.787868	0.787868
HYI	C1orf78	Type 0	0.838591	0.838591
PDGFB	ZNF395	Type 0	0.312500	0.312500
PDK1	ZNF395	Type 0	0.229665	0.229665
SPECC1	ZNF395	Type 0	0.289236	0.289236
G6PD	ZNF395	Type 0	0.242574	0.242574
INTS10	ZNF395	Type 0	0.262804	0.262804
GALNT5	DERA	Type 0	0.266431	0.266431
EPS8	DERA	Type 0	0.792426	0.792426
CTNNA1	DERA	Type 0	0.294317	0.294317
GPD2	DERA	Type 0	0.298322	0.298322
LOC26010	DERA	Type 0	0.315301	0.315301
C12orf60	DERA	Type 0	0.247542	0.247542
CREBL2	DERA	Type 0	0.324460	0.324460
DERA	CREBL2	Type 0	0.320075	0.320075
PDGFRA	PTN	Type 0	0.436765	0.436765
PDGFRA	THY1	Type 0	0.660498	0.660498
FIGN	PPP1R3C	Type 0	0.997655	0.997655
OVOL2	PPP1R3C	Type 0	0.259867	0.259867
DLL4	PPP1R3C	Type 0	0.523163	0.523163
PPP1R3C	NPR3	Type 0	0.812341	0.812341
PPP1R3C	ABCC9	Type 0	0.263054	0.263054
PPP1R3C	ZNF599	Type 0	0.454944	0.454944
E2F5	XG	Type 0	0.297265	0.297265
TMEM40	XG	Type 0	0.230810	0.230810
SLC31A2	XG	Type 0	0.286600	0.286600
CXorf10	CIDEC	Type 0	0.286364	0.286364
ANP32E	CIDEC	Type 0	0.303660	0.303660
LBR	CIDEC	Type 0	0.238683	0.238683
MCM4	CIDEC	Type 0	0.239413	0.239413
NFE2L1	CIDEC	Type 0	0.455513	0.455513
HMGN2	CIDEC	Type 0	0.994510	0.994510
TRMT5	CIDEC	Type 0	0.331701	0.331701
CIDEC	IFRD1	Type 0	0.431730	0.431730
CLDN3	KLHDC9	Type 0	0.405455	0.405455
EXPH5	KLHDC9	Type 0	0.560149	0.560149
KLHDC9	RASD1	Type 0	0.213460	0.213460
SLC10A4	ECHDC3	Type 0	0.301082	0.301082
SLC10A4	FLJ25801	Type 0	0.868743	0.868743
SLC10A4	PLA2G7	Type 0	0.302987	0.302987
SLC10A4	FBLN2	Type 0	0.200000	0.200000
SLAIN1	CASD1	Type 0	0.296973	0.296973
SLC26A11	MARCH2	Type 0	0.585588	0.585588
PCBP4	MARCH2	Type 0	0.235551	0.235551
ZCWPW2	MARCH2	Type 0	0.287859	0.287859
AKAP1	MARCH2	Type 0	0.456555	0.456555
ITFG2	MARCH2	Type 0	0.205927	0.205927
ZNF358	MARCH2	Type 0	0.996990	0.996990
MARCH2	TLE6	Type 0	0.212195	0.212195
MARCH2	SQLE	Type 0	0.270487	0.270487
MARCH2	ZCWPW2	Type 0	0.260044	0.260044
MARCH2	SLC7A1	Type 0	0.301081	0.301081
MARCH2	ZNF572	Type 0	0.921749	0.921749
MARCH2	ITFG2	Type 0	0.200608	0.200608
MARCH2	EGLN1	Type 0	0.300316	0.300316
MARCH2	MSTN	Type 0	0.350248	0.350248
ST14	KIAA0746	Type 0	0.416613	0.416613
ALDH2	KIAA0746	Type 0	0.280130	0.280130
G0S2	ZNF597	Type 0	0.965969	0.965969
TMEM22	ZNF597	Type 0	0.298890	0.298890
ZNF452	ZNF597	Type 0	0.291391	0.291391
SPAG11B	KIF25	Type 0	0.288123	0.288123
HIF1A	KIF25	Type 0	0.206143	0.206143
PCDHB8	KIF25	Type 0	0.618844	0.618844
TEX12	KIF25	Type 0	0.300551	0.300551
KIF25	TEX12	Type 0	0.206801	0.206801
TAP1	PSMD12	Type 0	0.204854	0.204854
EIF1AX	PSMD12	Type 0	0.871989	0.871989
HLA-E	PSMD12	Type 0	0.562998	0.562998
RBBP9	PSMD12	Type 0	0.332996	0.332996
GRSF1	PSMD12	Type 0	0.298774	0.298774
PSMD12	PS1TP4	Type 0	0.995517	0.995517
PSMD12	NDUFC2	Type 0	0.295349	0.295349
PRKD1	CHSY-2	Type 0	0.307433	0.307433
LRP12	CHSY-2	Type 0	0.607482	0.607482
IFI16	ATP7B	Type 0	0.456136	0.456136
HNF1A	ATP7B	Type 0	0.271122	0.271122
NR3C1	ATP7B	Type 0	0.252632	0.252632
ATP7B	SLC1A1	Type 0	0.261464	0.261464
ATP7B	ANK1	Type 0	0.297591	0.297591
KLF3	TM6SF1	Type 0	0.245665	0.245665
IL2RA	TM6SF1	Type 0	0.486064	0.486064
ARMCX5	TM6SF1	Type 0	0.591309	0.591309
HLA-DQA1	TM6SF1	Type 0	0.333504	0.333504
TM6SF1	IL2RA	Type 0	0.432586	0.432586
TM6SF1	POMC	Type 0	0.618425	0.618425
TM6SF1	SOX2OT	Type 0	0.785753	0.785753
TM6SF1	SLC15A4	Type 0	0.299849	0.299849
LRP10	ARMC8	Type 0	0.419042	0.419042
VRK1	ARMC8	Type 0	0.238323	0.238323
PTPN2	ARMC8	Type 0	0.295173	0.295173
PCGF6	ARMC8	Type 0	0.288089	0.288089
WTAP	ARMC8	Type 0	0.877380	0.877380
ARMC8	RP11-298P3.3	Type 0	0.274194	0.274194
ARMC8	FAM63A	Type 0	0.670830	0.670830
FRMD6	NAV3	Type 0	0.429116	0.429116
SERPINE1	MAP3K14	Type 0	0.381007	0.381007
ANKRD2	MAP3K14	Type 0	0.667158	0.667158
GADD45B	MAP3K14	Type 0	0.406661	0.406661
MAP3K14	FLJ25801	Type 0	0.603049	0.603049
MAP3K14	PAX6	Type 0	0.383922	0.383922
MAP3K14	GADD45B	Type 0	0.205011	0.205011
HIST1H2AH	TMEM150	Type 0	0.527866	0.527866
ORC1L	TMEM150	Type 0	0.271710	0.271710
RAD54L	TMEM150	Type 0	0.330281	0.330281
TMEM150	PMAIP1	Type 0	0.225773	0.225773
FAM110C	C20orf11	Type 0	0.227649	0.227649
RAB25	C20orf11	Type 0	0.273051	0.273051
CGN	C20orf11	Type 0	0.233535	0.233535
MPZL3	C20orf11	Type 0	0.991437	0.991437
PARD6B	C20orf11	Type 0	0.528526	0.528526
PRSS8	C20orf11	Type 0	0.357614	0.357614
C20orf11	SLC9A3R1	Type 0	0.218679	0.218679
C20orf11	HIST1H2BG	Type 0	0.232170	0.232170
C20orf11	CHKA	Type 0	0.223083	0.223083
C20orf11	ZSWIM3	Type 0	0.302296	0.302296
C20orf11	SLMO2	Type 0	0.928915	0.928915
FAM129B	KCNK12	Type 0	0.229719	0.229719
NKD1	NR3C2	Type 0	0.283623	0.283623
CCDC85A	NR3C2	Type 0	0.272395	0.272395
SCIN	NR3C2	Type 0	0.942545	0.942545
NR3C2	CCDC85A	Type 0	0.212980	0.212980
NR3C2	EIF4E3	Type 0	0.230418	0.230418
ARD1B	PAQR9	Type 0	0.282016	0.282016
PCOLCE2	PAQR9	Type 0	0.246575	0.246575
SPSB4	PAQR9	Type 0	0.236581	0.236581
CHST9	PAQR9	Type 0	0.298691	0.298691
CDO1	PAQR9	Type 0	0.275275	0.275275
PAQR9	CDO1	Type 0	0.269269	0.269269
DCK	SLBP	Type 0	0.785538	0.785538
LYAR	SLBP	Type 0	0.512161	0.512161
FBXO5	SLBP	Type 0	0.206829	0.206829
FUSIP1	SLBP	Type 0	0.346755	0.346755
SLBP	TMEPAI	Type 0	0.301342	0.301342
SLBP	H2AFJ	Type 0	0.473303	0.473303
SLBP	BHLHB3	Type 0	0.234187	0.234187
SLBP	C20orf142	Type 0	0.332406	0.332406
SLBP	DCK	Type 0	0.214462	0.214462
SLBP	MCM4	Type 0	0.210388	0.210388
SLBP	ZNF721	Type 0	0.998964	0.998964
NUP210	FAP	Type 0	0.449795	0.449795
SPARC	FAP	Type 0	0.218803	0.218803
FAP	NDN	Type 0	0.999215	0.999215
FAP	NUP210	Type 0	0.420310	0.420310
FAP	SPARC	Type 0	0.357478	0.357478
FAP	SERPINE2	Type 0	0.384323	0.384323
TJP1	FAM131A	Type 0	0.265711	0.265711
RCSD1	FAM131A	Type 0	0.333333	0.333333
TMEM132A	FAM131A	Type 0	0.200347	0.200347
EPHA2	LRRC8A	Type 0	0.226127	0.226127
CARD10	LRRC8A	Type 0	0.374407	0.374407
DDR1	LRRC8A	Type 0	0.722370	0.722370
LRRC8A	MDK	Type 0	1.000000	1.000000
LRRC8A	SPG3A	Type 0	0.298694	0.298694
LRRC8A	PTHLH	Type 0	0.244784	0.244784
LRRC8A	PKP1	Type 0	0.236426	0.236426
BST2	ECGF1	Type 0	0.236669	0.236669
STXBP6	ECGF1	Type 0	0.237477	0.237477
FAM129A	ECGF1	Type 0	0.302368	0.302368
OAS2	ECGF1	Type 0	0.385960	0.385960
IFI44L	ECGF1	Type 0	0.970242	0.970242
HLA-E	ECGF1	Type 0	0.298960	0.298960
ECGF1	STXBP6	Type 0	0.469388	0.469388
ECGF1	C1orf38	Type 0	0.299499	0.299499
ECGF1	SLFN13	Type 0	0.220138	0.220138
PLEK2	CDA	Type 0	0.994109	0.994109
CDA	CSF2	Type 0	0.501454	0.501454
CDA	IFI27	Type 0	0.252754	0.252754
NPFFR2	SNCAIP	Type 0	0.203526	0.203526
ETV5	SNCAIP	Type 0	0.293536	0.293536
CD3D	PRKCQ	Type 0	0.536767	0.536767
GFI1	PRKCQ	Type 0	0.225191	0.225191
SLC29A1	PRKCQ	Type 0	1.000000	1.000000
ORC1L	PRKCQ	Type 0	0.327838	0.327838
PRKCQ	PSMB7	Type 0	0.302244	0.302244
EPHA2	C14orf142	Type 0	0.265778	0.265778
VRK1	C14orf142	Type 0	0.625617	0.625617
TMED8	C14orf142	Type 0	0.995528	0.995528
CD151	C14orf142	Type 0	0.385027	0.385027
C14orf142	RAD51C	Type 0	0.908274	0.908274
C14orf142	C14orf130	Type 0	0.961250	0.961250
C14orf142	MOAP1	Type 0	0.996787	0.996787
RCSD1	TANC1	Type 0	0.984188	0.984188
TAGAP	TANC1	Type 0	0.295406	0.295406
WAS	TANC1	Type 0	0.315829	0.315829
TANC1	ANUBL1	Type 0	0.299685	0.299685
C5orf13	PTBP2	Type 0	0.294621	0.294621
STMN1	PTBP2	Type 0	0.274450	0.274450
PTBP2	FOXP1	Type 0	0.257396	0.257396
PTBP2	USP13	Type 0	0.891298	0.891298
POLR1D	MRPS31	Type 0	0.225652	0.225652
C13orf23	MRPS31	Type 0	0.510774	0.510774
NARG1L	MRPS31	Type 0	0.211239	0.211239
EXOSC8	MRPS31	Type 0	0.337448	0.337448
RPL21	MRPS31	Type 0	0.257232	0.257232
MRPS31	SETDB2	Type 0	0.260974	0.260974
MRPS31	ELF1	Type 0	0.594612	0.594612
MRPS31	C13orf23	Type 0	0.489226	0.489226
MRPS31	MTRF1	Type 0	0.816417	0.816417
MRPS31	EXOSC8	Type 0	0.591214	0.591214
MRPS31	HSPH1	Type 0	0.207875	0.207875
MRPS31	RPL21	Type 0	0.704996	0.704996
MRPS31	KIAA1704	Type 0	0.870032	0.870032
MRPS31	C13orf34	Type 0	0.404222	0.404222
MRPS31	ALG5	Type 0	0.400134	0.400134
MRPS31	TRIM13	Type 0	0.216368	0.216368
CYR61	MATN2	Type 0	0.999495	0.999495
COL12A1	MATN2	Type 0	0.201727	0.201727
MATN2	FBN2	Type 0	0.219692	0.219692
TJP1	STBD1	Type 0	0.207624	0.207624
